label,product,size,quantity,price_usd,price_cents,upc,source,wic_category,coverage_note,wic_paid_usd,household_paid_usd,store,observed
Milk · 1 gal,First Street 1% Low Fat Milk,1 gallon,1,4.29,429,00041512081224,https://www.smartandfinal.com/sm/pickup/rsid/522/product/first-street-milk-1-milkfat-low-fat-id-00041512081224,Milk - 1% Lowfat or Nonfat,Regular $4.29 single-gallon price. The displayed $3.99 promotion requires buying two; not used here.,4.29,0,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
Eggs · 12,First Street Cage Free Large Eggs,12 eggs,1,1.99,199,00041512014154,https://www.smartandfinal.com/sm/pickup/rsid/522/product/first-street-eggs-cage-free-large-id-00041512014154,Cage-Free Eggs,One dozen; approved UPC.,1.99,0,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
Bread · 20 oz,Nature’s Own 100% Whole Wheat Bread,20 oz,1,3.99,399,00072250037129,https://www.smartandfinal.com/sm/pickup/rsid/522/product/natures-own-100-whole-wheat-bread-id-00072250037129,Whole Wheat Bread,Approved UPC; 20 oz deducted from whole-grain balance.,3.99,0,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
Peanut butter · 18 oz,First Street Creamy Peanut Butter,18 oz,1,2.99,299,00041512088148,https://www.smartandfinal.com/sm/pickup/rsid/522/product/first-street-peanut-butter-creamy-id-00041512088148,Peanut Butter,Approved UPC; one container from the issued peanut butter/legume benefit.,2.99,0,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
Apples · 3 lb,First Street Gala Apples,48 oz (3 lb) bag,1,3.99,399,00041512171550,https://www.smartandfinal.com/sm/pickup/rsid/522/product/first-street-apples-gala-id-00041512171550,Fresh fruit,"Fixed-price bag, not an estimated weight. Fresh produce is mapped by the vendor to approved PLU codes; fresh UPCs are not in the state APL.",3.99,0,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
Frozen peas · 12 oz,First Street Steams-in-Bag Green Peas,12 oz,1,1.89,189,00041512121340,https://www.smartandfinal.com/sm/pickup/rsid/522/product/first-street-steamsinbag-green-peas-id-00041512121340,Fruits and Vegetables,Approved UPC; ingredient: green peas.,1.89,0,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
Dish soap · 18 fl oz,Dawn Ultra Original Liquid Dish Soap,18 fl oz,1,3.49,349,00030772094037,https://www.smartandfinal.com/sm/pickup/rsid/522/product/dawn-ultra-liquid-dish-soap-original-id-00030772094037,Not covered,Nonfood household product; household pays.,0,3.49,"Smart & Final #522, 855 N Wilcox Avenue, Montebello, CA 90640",2026-09-20
