year,infants,children,source,period
2016,85.7,43.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2017,82.6,41.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2018,84.4,42.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2019,83.7,41.7,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2020,82.5,42.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2021,78,43.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2022,78.4,46,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
2023,82.3,47.9,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,Average month in each calendar year
