id,name,eligible,participants,rate,low,high,source,period
AL,Alabama,217424.0,111698.0,51.4,49.1,53.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
AK,Alaska,27897.0,14037.0,50.3,45.0,55.7,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
AZ,Arizona,251856.0,149740.0,59.5,57.5,61.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
AR,Arkansas,137464.0,62760.0,45.7,43.1,48.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
CA,California,1342261.0,972105.0,72.4,71.3,73.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
CO,Colorado,161362.0,87529.0,54.2,51.3,57.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
CT,Connecticut,100229.0,48241.0,48.1,45.7,50.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
DE,Delaware,33370.0,20526.0,61.5,54.1,68.9,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
DC,District of Columbia,19833.0,11699.0,59.0,49.5,68.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
FL,Florida,797695.0,421853.0,52.9,51.8,54.0,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
GA,Georgia,452426.0,216026.0,47.7,46.5,49.0,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
HI,Hawaii,44888.0,25712.0,57.3,51.8,62.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
ID,Idaho,68498.0,30758.0,44.9,41.6,48.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
