age,eligible,participants,rate,source,period
Infant,1796821,1479155,82.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
Age 1,1883018,1268459,67.4,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
Age 2,1914319,1004346,52.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
Age 3,1937138,874822,45.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
Age 4,1891664,508450,26.9,https://fns-prod.azureedge.us/sites/default/files/resource-files/wic-eer2023-report.pdf,CY 2023
