UPC,CATEGORY,CATEGORY_DESCRIPTION,SUBCATEGORY,SUBCATEGORY_DESCRIPTION,PRODUCT_DESCRIPTION_AND_SIZE,UOM,FRUIT_AND_VEGETABLE_TYPE
 00072250037129,      16,Bread and Whole Grains,        001,Whole Wheat Bread,NatureOwn WWBrd-20OZ,OZ,
 00041512121340,      19,Fruit and Vegetables Cash Value Benefit,        001,Fruits and Vegetables (No Dried Fruits),FirstSt Steamable Peas,$$$,Frozen
 00041512081224,      52,Milk Fat Reduced,        002,Milk - 1% Lowfat or Nonfat,FirstSt LowFat Milk-1GAL,GAL,
 00041512014154,      03,Eggs,        005,Cage-Free Eggs,FirstSt CgFrEggs-1DOZ,DOZ,
 00041512088148,      06,Legumes,        001,Peanut Butter,FirstSt  Creamy PB-18OZ,CTR,
